"Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>","Klarna Checkout kunde inte laddas. Vänligen <a href=""javascript:;"" onclick=""location.reload(true)"">ladda om kassan.</a>"
"Order total does not match for order #%1. Klarna total is %2 vs Magento total %3","Den totala summan matchar inte för order #%1. Klarnas summa är %2 jämfört med Magentos summa %3"
"Unable to process order. Please try again","Kunde inte behandla ordern. Vänligen försök igen."
"Order already exist.","Ordern existerar redan."
"Unable to complete order. Please try again","Kunde inte slutföra köpet. Vänligen försök igen."
"Klarna Checkout","Klarna Checkout"
"Unable to initialize Klarna checkout order","Kunde inte initialisera Klarna Checkout-order."
"Unable to initialize Klarna checkout order. Klarna api error: %1","Kunde inte initialisera Klarna Checkout-order. Klarna API-error: %1"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Det finns redan en registrerad kund med denna mejladress. Vänligen logga in med denna mejladress eller skriv in en annan mejladress för att skapa ditt konto."
"Invalid checkout type.","Ogiltig kassatyp."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Tyvärr så är inte gästkassan aktiverad. Vänligen försök igen eller kontakta butiksägaren."
"Customer Address is not valid.","Ogiltig adress."
"Please enter a valid email address.","Vänligen uppge en giltig mejladress."
"Sorry, but administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Tyvärr så kan inte gäster prenumerera på butikens nyhetsbrev. Vänligen <a href=""%1"">skapa ett konto</a>."
"Confirmation request has been sent.","Verifikationsförfrågan har skickats."
"Thank you for your subscription.","Tack för att du prenumererar."
"There was a problem with the subscription: %1","Det uppstod ett problem med att starta prenumerationen: %1"
"There was a problem with the subscription.","Det uppstod ett problem med att starta prenumerationen."
"Shipping Countries",Fraktländer
"Supported shipping countries for Klarna.","Länder som Klarna Checkout ska stödja frakt till."
"Disable Klarna for specific customer groups","Avaktivera Klarna Checkout för specifika kundgrupper"
"Selected groups will see standard checkout instead of Klarna checkout.","De valda grupperna kommer att se standardkassan istället för Klarna Checkout."
"External Payment Methods","Externa Betalningsmetoder"
"Merchant Checkbox","Extra Kryssruta"
"Enable a checkbox within the checkout to trigger user behavior. May not be available in all markets.","Lägg till en kryssruta i kassan för att tillåta ytterligare användarval. Möjligtvis inte tillgängligt för alla marknader."
"Merchant Checkbox Text","Extra Kryssrutetext"
"Leave blank to use default text with selected method.","Lämna tom för att använda standardtexten från den valda betalningsmetoden."
"Merchant Checkbox Required","Extra Kryssruta Obligatorisk"
"If the checkbox must be checked before the customer can place the order.","Om den extra kryssrutan måste bli ikryssad av kunden innan köpet kan slutföras."
"Merchant Checkbox Checked","Extra Kryssruta Ikryssad"
"If the checkbox will be checked by default.","Om kryssrutan är ikryssad som standard."
"Allow Guest Checkout","Tillåt Gästkassa"
"If guests are allowed to buy through KCO. If not, guest customers will be redirected to Magento's default checkout. Registered customers will still see KCO.","Om gäster tillåts handla genom KCO. Om inte, blir dessa kunder omdirigerade till Magentos standard-kassa. Registrerade kunder kommer fortsatt kunna se KCO."
"URL to terms and conditions","Länk till villkor"
"URL to this store's own terms and conditions.","Länk till denna butiks egna villkor."
"Separate shipping addresses","Separat leveransadress"
"Allow shipping address to be different from billing address.","Tillåt leveransadressen att vara annorlunda från faktureringsadressen."
"Auto focus Klarna Checkout","Autofokusera Klarna Checkout"
"Pre-fill Customer Details","Autoifyll Kunddata"
"Pre-fill Klarna Checkout with stored customer data.","Autoifyll Klarna Checkout med lagrad kunddata."
"Title mandatory","Titel obligatorisk"
"Only available in certain markets.","Endast tillgänglig i specifika marknader."
"Date of birth mandatory","Födelsedatum obligatoriskt"
"Checkout button color","Färg på kassans knappar"
"Checkout button text color","Färg på kassans knapptexter"
"Checkout checkbox color","Färg på kassans kryssrutor"
"Checkout checkbox check mark color","Färg på kassans kryssrutebock"
"Checkout header color","Färg på kassans header"
"Checkout link color","Färg på kassans länkar"
"Example: #0072CC","Exempel: #0072CC"
"PayPal Express","PayPal Express"
"Checkout using PayPal.","Betala med PayPal."
"Newsletter Signup",Nyhetsbrevsprenumeration
"Signup to our newsletter","Prenumerera på vårt nyhetsbrev"
"Create Account","Skapa konto"
"Create account for faster checkout next time","Skapa konto för snabbare utcheckning"
